ResponseId,Age,Country,EdLevel,LanguageHaveWorkedWith,LanguageWantToWorkWith
54287,55-64y,Denmark,Bachelor’s degree,Delphi,Bash/Shell (all shells)
39162,18-24y,France,Bachelor’s degree,Rust,SQL
53462,45-54y,Australia,Bachelor’s degree,JavaScript,HTML/CSS
6768,18-24y,USA,Bachelor’s degree,TypeScript,Bash/Shell (all shells)
28935,18-24y,Netherlands,Study wo degree,Python,Assembly
45143,35-44y,USA,Bachelor’s degree,TypeScript,Assembly
36323,65y+,USA,Master’s degree,JavaScript,Go
18774,Under 18y,Germany,Secondary School,TypeScript,C++
55481,18-24y,Zambia,Bachelor’s degree,SQL,C
17248,25-34y,Ukraine,Master’s degree,Bash/Shell (all shells),Swift
36497,55-64y,Russia,Study wo degree,C,C
4572,25-34y,Switzerland,Master’s degree,C++,Dart
28774,25-34y,Mexico,Study wo degree,JavaScript,Python
25283,65y+,Japan,Professional degree,Ada,Zig
62401,25-34y,Germany,Bachelor’s degree,PowerShell,JavaScript
36241,25-34y,USA,Bachelor’s degree,TypeScript,JavaScript
45156,25-34y,Austria,Professional degree,Bash/Shell (all shells),C
53654,25-34y,USA,Bachelor’s degree,Kotlin,Rust
5995,65y+,USA,Bachelor’s degree,SQL,Java
57806,45-54y,Canada,Bachelor’s degree,Scala,Elixir
24173,18-24y,France,Master’s degree,C++,C++
26180,18-24y,Poland,Secondary School,Bash/Shell (all shells),JavaScript
64288,25-34y,Unknown,Bachelor’s degree,Python,Lisp
14335,65y+,USA,Master’s degree,JavaScript,Assembly
61747,25-34y,Unknown,Unknown,C++,Delphi
15837,Under 18y,USA,Primary school,Julia,Python
16853,45-54y,Switzerland,Bachelor’s degree,Bash/Shell (all shells),PHP
57495,35-44y,Thailand,Bachelor’s degree,Objective-C,TypeScript
5205,25-34y,France,Master’s degree,C#,Kotlin
1461,35-44y,USA,Study wo degree,SQL,SQL
63357,Under 18y,Netherlands,Secondary School,Dart,Crystal
17665,18-24y,India,Master’s degree,C++,Elixir
55912,18-24y,USA,Secondary School,Kotlin,SQL
22211,25-34y,Georgia,Bachelor’s degree,TypeScript,Prolog
56272,18-24y,USA,Bachelor’s degree,MATLAB,MicroPython
37814,18-24y,India,Bachelor’s degree,Java,JavaScript
26161,35-44y,USA,Master’s degree,SQL,TypeScript
25855,18-24y,USA,Bachelor’s degree,C#,Python
5387,25-34y,India,Bachelor’s degree,Apex,C#
35911,25-34y,USA,Master’s degree,Go,Python
25902,18-24y,Canada,Bachelor’s degree,C#,GDScript
7406,35-44y,Czechia,Master’s degree,HTML/CSS,JavaScript
30083,25-34y,Italy,Secondary School,HTML/CSS,SQL
65073,18-24y,USA,Bachelor’s degree,C,Haskell
42406,35-44y,Thailand,Primary school,Nim,Go
48106,45-54y,Poland,Bachelor’s degree,Perl,TypeScript
2411,25-34y,Canada,Bachelor’s degree,TypeScript,Go
8368,25-34y,South Africa,Bachelor’s degree,HTML/CSS,Scala
53613,Under 18y,Unknown,Unknown,None,None
12287,25-34y,Finland,Study wo degree,HTML/CSS,Dart
28998,18-24y,South Africa,Secondary School,HTML/CSS,PowerShell
35155,18-24y,Georgia,Secondary School,HTML/CSS,HTML/CSS
11968,18-24y,USA,Something else,R,Go
1362,18-24y,Morocco,Secondary School,HTML/CSS,C++
28405,25-34y,Denmark,Master’s degree,TypeScript,Kotlin
64132,25-34y,Unknown,Master’s degree,Python,Zig
14787,35-44y,Germany,Master’s degree,SQL,Rust
55231,25-34y,Germany,Master’s degree,TypeScript,TypeScript
38426,18-24y,Bangladesh,Study wo degree,Python,HTML/CSS
7891,18-24y,Denmark,Bachelor’s degree,Groovy,HTML/CSS
3749,45-54y,Finland,Study wo degree,C#,PowerShell
2574,18-24y,Belgium,Bachelor’s degree,JavaScript,Python
51249,Under 18y,Morocco,Secondary School,Python,Lua
56147,35-44y,Canada,Master’s degree,Java,C#
18480,25-34y,Germany,Bachelor’s degree,JavaScript,TypeScript
45196,35-44y,Iceland,Bachelor’s degree,Go,Go
37817,25-34y,Spain,Bachelor’s degree,PHP,TypeScript
60339,25-34y,Unknown,Unknown,Lisp,Apex
39879,45-54y,USA,Professional degree,TypeScript,Kotlin
4148,25-34y,Austria,Secondary School,Rust,Elixir
11968,18-24y,USA,Something else,HTML/CSS,Go
31561,25-34y,Indonesia,Bachelor’s degree,Assembly,JavaScript
