ResponseId,Age,Country,EdLevel,WebframeHaveWorkedWith,WebframeWantToWorkWith
50318,35-44y,USA,Bachelor’s degree,Next.js,Angular
18132,25-34y,Greece,Master’s degree,Next.js,FastAPI
43421,25-34y,Canada,Bachelor’s degree,React,React
33778,18-24y,France,Secondary School,None,None
13662,18-24y,Colombia,Study wo degree,Node.js,ASP.NET CORE
23644,25-34y,Ukraine,Associate degree,jQuery,ASP.NET CORE
11742,35-44y,USA,Master’s degree,None,None
45255,35-44y,Colombia,Bachelor’s degree,Laravel,Drupal
24021,25-34y,Poland,Master’s degree,React,Next.js
17376,35-44y,Indonesia,Bachelor’s degree,Node.js,Astro
17397,35-44y,Venezuela,Study wo degree,Express,Angular
13218,35-44y,Ethiopia,Bachelor’s degree,jQuery,Laravel
27960,35-44y,France,Professional degree,jQuery,Drupal
21411,35-44y,Italy,Professional degree,FastAPI,Nuxt.js
45472,35-44y,South Africa,Study wo degree,React,Htmx
36132,25-34y,Germany,Bachelor’s degree,Deno,Deno
59221,35-44y,USA,Bachelor’s degree,Node.js,jQuery
39160,35-44y,Czechia,Master’s degree,Node.js,ASP.NET CORE
46410,35-44y,USA,Bachelor’s degree,Htmx,Node.js
55076,25-34y,Bangladesh,Bachelor’s degree,NestJS,ASP.NET CORE
55307,18-24y,Switzerland,Something else,Express,Node.js
53316,25-34y,France,Master’s degree,Node.js,Spring Boot
33472,18-24y,Iraq,Study wo degree,Express,Node.js
32071,18-24y,Poland,Study wo degree,NestJS,ASP.NET CORE
42942,25-34y,Czechia,Secondary School,Next.js,Htmx
17646,35-44y,Germany,Master’s degree,Spring Boot,Node.js
47960,25-34y,Spain,Bachelor’s degree,Node.js,Spring Boot
52101,25-34y,Saudi Arabia,Bachelor’s degree,React,Laravel
9393,25-34y,Indonesia,Bachelor’s degree,Svelte,Vue.js
24958,25-34y,USA,Bachelor’s degree,jQuery,React
21566,45-54y,Canada,Bachelor’s degree,WordPress,Ruby on Rails
9627,Under 18y,USA,Primary school,ASP.NET,Blazor
25066,18-24y,USA,Bachelor’s degree,Django,Htmx
40989,25-34y,Turkey,Bachelor’s degree,Vue.js,Angular
48533,35-44y,Sweden,Bachelor’s degree,Node.js,Express
3871,18-24y,Malaysia,Bachelor’s degree,Laravel,React
25321,25-34y,Finland,Bachelor’s degree,ASP.NET CORE,Htmx
27925,25-34y,USA,Bachelor’s degree,ASP.NET,Svelte
50789,35-44y,Australia,Bachelor’s degree,Vue.js,Strapi
30282,35-44y,Netherlands,Master’s degree,None,None
21948,25-34y,Belgium,Bachelor’s degree,AngularJS,Solid.js
51265,25-34y,Brazil,Study wo degree,Node.js,Express
7418,18-24y,India,Bachelor’s degree,React,NestJS
19000,25-34y,India,Bachelor’s degree,Flask,FastAPI
23848,18-24y,Germany,Secondary School,Node.js,Phoenix
15967,25-34y,Canada,Study wo degree,Angular,Strapi
60900,35-44y,Unknown,Master’s degree,React,React
18638,25-34y,India,Bachelor’s degree,Symfony,Symfony
25275,25-34y,India,Bachelor’s degree,Remix,None
53493,35-44y,India,Bachelor’s degree,Spring Boot,React
4464,25-34y,Kuwait,Bachelor’s degree,React,Node.js
18706,25-34y,France,Bachelor’s degree,Node.js,Astro
31747,18-24y,Bangladesh,Bachelor’s degree,jQuery,WordPress
40070,25-34y,USA,Bachelor’s degree,ASP.NET,Svelte
20020,18-24y,France,Master’s degree,Blazor,Blazor
2519,25-34y,Argentina,Associate degree,Express,Angular
36273,25-34y,USA,Bachelor’s degree,Node.js,FastAPI
15622,45-54y,Philippines,Bachelor’s degree,AngularJS,WordPress
51036,25-34y,Germany,Bachelor’s degree,Express,WordPress
60752,45-54y,Unknown,Unknown,NestJS,Blazor
27704,35-44y,France,Master’s degree,Node.js,Node.js
31452,25-34y,Ghana,Bachelor’s degree,Angular,Solid.js
13209,25-34y,Ghana,Bachelor’s degree,ASP.NET CORE,Next.js
56323,25-34y,Unknown,Unknown,None,None
15296,25-34y,Japan,Bachelor’s degree,Nuxt.js,Laravel
64621,35-44y,Italy,Secondary School,Symfony,None
50474,18-24y,Bosnia and Herzegovina,Bachelor’s degree,FastAPI,Astro
33586,35-44y,Bosnia and Herzegovina,Bachelor’s degree,Node.js,Play Framework
8136,25-34y,Turkey,Bachelor’s degree,Flask,Next.js
26163,45-54y,Canada,Secondary School,jQuery,ASP.NET
63056,25-34y,Canada,Bachelor’s degree,Node.js,Nuxt.js
36901,45-54y,Argentina,Something else,Node.js,Flask
13305,35-44y,Hungary,Bachelor’s degree,Spring Boot,Spring Boot
52619,25-34y,Australia,Master’s degree,React,FastAPI
2959,25-34y,Nigeria,Bachelor’s degree,FastAPI,FastAPI
26451,25-34y,Argentina,Study wo degree,Express,React
42701,Under 18y,Canada,Something else,Express,Node.js
35755,18-24y,South Africa,Bachelor’s degree,Express,Deno
7515,18-24y,France,Master’s degree,React,React
53485,35-44y,Unknown,Bachelor’s degree,jQuery,Laravel
29394,25-34y,India,Bachelor’s degree,React,React
50719,35-44y,France,Bachelor’s degree,Angular,Angular
61747,25-34y,Unknown,Unknown,Angular,Express
34990,18-24y,Czechia,Bachelor’s degree,React,Node.js
52392,18-24y,Bulgaria,Study wo degree,Express,NestJS
63408,25-34y,Unknown,Study wo degree,None,None
4421,45-54y,UK,Bachelor’s degree,CodeIgniter,WordPress
7905,35-44y,Australia,Primary school,Laravel,Laravel
52612,35-44y,Portugal,Master’s degree,Node.js,Node.js
40794,18-24y,Netherlands,Bachelor’s degree,Strapi,Next.js
48010,25-34y,Moldova,Study wo degree,Next.js,React
49583,18-24y,Unknown,Unknown,React,React
3823,18-24y,Afghanistan,Secondary School,Node.js,React
45524,35-44y,USA,Bachelor’s degree,Flask,None
