ResponseId,Age,Country,EdLevel,PlatformHaveWorkedWith,PlatformWantToWorkWith
17854,Under 18y,Algeria,Secondary School,Amazon Web Services (AWS),Cloudflare
31752,45-54y,Belgium,Master’s degree,Microsoft Azure,Microsoft Azure
19107,65y+,USA,Bachelor’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
49656,65y+,USA,Professional degree,None,None
23781,35-44y,Bangladesh,Master’s degree,VMware,Microsoft Azure
22040,25-34y,USA,Bachelor’s degree,Cloudflare,Cloudflare
38580,45-54y,India,Master’s degree,Google Cloud,OpenShift
21595,35-44y,Nigeria,Bachelor’s degree,Netlify,VMware
23254,25-34y,Ireland,Master’s degree,Digital Ocean,Microsoft Azure
29651,25-34y,Spain,Associate degree,None,None
37955,25-34y,India,Master’s degree,VMware,Firebase
22243,35-44y,USA,Secondary School,Google Cloud,Microsoft Azure
23738,25-34y,India,Bachelor’s degree,Google Cloud,None
53471,18-24y,USA,Bachelor’s degree,Microsoft Azure,Microsoft Azure
55793,18-24y,Canada,Master’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
9988,25-34y,Hong Kong,Bachelor’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
19652,18-24y,Canada,Associate degree,Google Cloud,Microsoft Azure
14359,25-34y,Brazil,Associate degree,Supabase,Amazon Web Services (AWS)
58867,35-44y,Poland,Bachelor’s degree,Netlify,Hetzner
18531,25-34y,Netherlands,Secondary School,Supabase,Fly.io
22938,18-24y,Italy,Study wo degree,Amazon Web Services (AWS),Google Cloud
42588,18-24y,India,Bachelor’s degree,Amazon Web Services (AWS),Microsoft Azure
54931,25-34y,Portugal,Master’s degree,Hetzner,Hetzner
32875,35-44y,Belgium,Study wo degree,Google Cloud,Scaleway
55139,25-34y,India,Bachelor’s degree,VMware,"Linode, now Akamai"
3063,18-24y,India,Study wo degree,Vercel,Render
35978,45-54y,USA,Bachelor’s degree,Amazon Web Services (AWS),Digital Ocean
58736,18-24y,USA,Bachelor’s degree,None,None
5803,25-34y,Brazil,Bachelor’s degree,Firebase,Amazon Web Services (AWS)
59355,35-44y,Unknown,Unknown,None,None
57092,45-54y,Austria,Bachelor’s degree,Microsoft Azure,Microsoft Azure
51314,55-64y,Australia,Professional degree,Amazon Web Services (AWS),Vercel
28586,25-34y,USA,Bachelor’s degree,None,None
30289,18-24y,UK,Bachelor’s degree,Digital Ocean,Digital Ocean
7285,18-24y,South Korea,Master’s degree,Amazon Web Services (AWS),Fly.io
13698,25-34y,USA,Master’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
46365,25-34y,Brazil,Study wo degree,Cloudflare,Cloudflare
51598,25-34y,Canada,Study wo degree,Cloudflare,Cloudflare
24443,25-34y,Czechia,Master’s degree,Microsoft Azure,Google Cloud
18662,25-34y,Ukraine,Bachelor’s degree,None,None
4707,18-24y,India,Bachelor’s degree,Render,Render
51463,18-24y,Sweden,Secondary School,Firebase,Cloudflare
42405,18-24y,India,Secondary School,Microsoft Azure,Managed Hosting
63214,35-44y,Austria,Master’s degree,Google Cloud,Databricks
62310,25-34y,Unknown,Unknown,None,None
22304,18-24y,USA,Bachelor’s degree,Amazon Web Services (AWS),"Linode, now Akamai"
12123,35-44y,Iran,Primary school,Digital Ocean,"Linode, now Akamai"
43192,18-24y,India,Bachelor’s degree,Vercel,Vercel
51179,25-34y,South Africa,Bachelor’s degree,Vercel,Fly.io
26791,25-34y,Belgium,Bachelor’s degree,VMware,Google Cloud
6550,55-64y,USA,Bachelor’s degree,Oracle Cloud Infrastructure (OCI),Google Cloud
7715,25-34y,Ukraine,Bachelor’s degree,Cloudflare,Heroku
45091,25-34y,Costa Rica,Bachelor’s degree,Google Cloud,Microsoft Azure
34709,25-34y,Kyrgyzstan,Study wo degree,Vercel,None
38900,25-34y,USA,Bachelor’s degree,Supabase,Amazon Web Services (AWS)
42406,35-44y,Thailand,Primary school,OVH,Managed Hosting
36518,35-44y,Afghanistan,Associate degree,Microsoft Azure,Microsoft Azure
46450,Under 18y,Netherlands,Secondary School,Cloudflare,Hetzner
43791,25-34y,Poland,Master’s degree,OpenShift,None
43563,25-34y,South Korea,Bachelor’s degree,Google Cloud,Firebase
55204,18-24y,Philippines,Study wo degree,VMware,IBM Cloud Or Watson
49677,35-44y,Serbia,Study wo degree,Fly.io,OpenStack
41429,25-34y,India,Master’s degree,Fly.io,Render
34961,35-44y,Saudi Arabia,Secondary School,Cloudflare,Vultr
48604,55-64y,USA,Bachelor’s degree,Microsoft Azure,Microsoft Azure
53951,45-54y,USA,Study wo degree,Microsoft Azure,Microsoft Azure
25435,45-54y,India,Bachelor’s degree,PythonAnywhere,VMware
49080,45-54y,France,Bachelor’s degree,Heroku,Microsoft Azure
8096,25-34y,Armenia,Primary school,Databricks,Supabase
1337,25-34y,Italy,Study wo degree,Firebase,Microsoft Azure
41315,45-54y,USA,Bachelor’s degree,VMware,Managed Hosting
50232,35-44y,India,Master’s degree,Firebase,Cloudflare
8410,25-34y,Brazil,Bachelor’s degree,Firebase,Heroku
6373,35-44y,USA,Bachelor’s degree,Heroku,None
18301,45-54y,Portugal,Master’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
20353,35-44y,Sweden,Master’s degree,None,None
26670,25-34y,India,Bachelor’s degree,Vultr,Oracle Cloud Infrastructure (OCI)
37295,25-34y,India,Study wo degree,Vercel,Cloudflare
42300,25-34y,India,Bachelor’s degree,Firebase,Firebase
7809,25-34y,India,Bachelor’s degree,Netlify,Digital Ocean
6409,25-34y,Mexico,Bachelor’s degree,Heroku,Amazon Web Services (AWS)
13246,18-24y,India,Bachelor’s degree,None,None
9015,25-34y,Greece,Study wo degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
26085,55-64y,USA,Bachelor’s degree,Firebase,Oracle Cloud Infrastructure (OCI)
7125,25-34y,Taiwan,Master’s degree,Firebase,Google Cloud
57975,25-34y,Unknown,Unknown,VMware,Netlify
34674,35-44y,Hungary,Study wo degree,Cloudflare,Managed Hosting
4511,18-24y,India,Bachelor’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
48349,Under 18y,Georgia,Something else,Vercel,Cloudflare
60815,18-24y,Mexico,Primary school,VMware,Databricks
15518,18-24y,India,Master’s degree,Firebase,Google Cloud
12724,25-34y,South Africa,Professional degree,OpenStack,Amazon Web Services (AWS)
46141,35-44y,USA,Bachelor’s degree,Amazon Web Services (AWS),None
41283,25-34y,USA,Associate degree,Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI)
138,35-44y,Argentina,Bachelor’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
48558,35-44y,Germany,Master’s degree,Microsoft Azure,None
13360,35-44y,Ukraine,Master’s degree,PythonAnywhere,Firebase
34912,35-44y,UK,Professional degree,Amazon Web Services (AWS),Cloudflare
40054,25-34y,Thailand,Study wo degree,Alibaba Cloud,Databricks
50103,18-24y,Egypt,Secondary School,VMware,OVH
2015,45-54y,Canada,Associate degree,Amazon Web Services (AWS),Google Cloud
16478,25-34y,Republic of the Congo,Master’s degree,Firebase,"Linode, now Akamai"
20553,25-34y,India,Bachelor’s degree,VMware,Microsoft Azure
3990,45-54y,Germany,Bachelor’s degree,Heroku,Microsoft Azure
36155,18-24y,Brazil,Bachelor’s degree,Firebase,Amazon Web Services (AWS)
28879,25-34y,Malaysia,Bachelor’s degree,Firebase,Cloudflare
34169,18-24y,Italy,Secondary School,Oracle Cloud Infrastructure (OCI),Cloudflare
51803,25-34y,USA,Master’s degree,Google Cloud,Google Cloud
69,35-44y,Netherlands,Master’s degree,Microsoft Azure,Microsoft Azure
