ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
36663,I am a developer by profession,18-24 years old,I prefer not to say,,Apples,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;School (i.e., University, College, etc)",,,5,1,"Developer, full-stack",,,,,,Viet Nam,,,Bash/Shell (all shells);C#;C++;Haskell;Java;JavaScript;Python;SQL;TypeScript,,,PostgreSQL;SQLite,,,,,,Angular;Node.js;React,,,GNU GCC;Rasberry Pi,Arduino,,DirectX;Opencv;OpenGL,,,Chocolatey;Docker;Maven (build tool);npm;Pip;Unreal Engine,,,IntelliJ IDEA;Qt Creator;Visual Studio;Visual Studio Code,,,MacOS;Ubuntu;Windows,,Jira;Markdown File;Obsidian;Trello,,,Discord;Google Meet;Slack;Whatsapp;Zoom,,,ChatGPT;GitHub Copilot,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, but I plan to soon",Favorable,,,,,,,,,,,,Yes,Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Don’t trust the output or answers;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,,
36721,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Social Media;Interactive tutorial;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,10,6,"Developer, full-stack",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Frequent updates to features;Connected to an open source project,Germany,EUR European Euro,79000.0,Bash/Shell (all shells);Go,Bash/Shell (all shells);Go,Bash/Shell (all shells);Go,Cloud Firestore,Cloud Firestore,Cloud Firestore,Google Cloud,Google Cloud,Google Cloud,,,,,,,,,,Docker;Homebrew;Make;Terraform,Docker;Homebrew,Docker;Homebrew,Neovim,Neovim,Neovim,MacOS,MacOS,Confluence;Jira,,,Google Meet;Microsoft Teams;Slack,Google Meet;Slack,Google Meet;Slack,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Showcase expertise with code solutions,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,84851.0,
30719,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Certification videos;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,5,5,DevOps specialist,20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence,United States of America,USD	United States dollar,80000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL,Bash/Shell (all shells);Go;Python;Rust;SQL;Zig,Bash/Shell (all shells);Go;Python;SQL,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,,,NumPy;Pandas;Scikit-Learn;TensorFlow,Scikit-Learn;TensorFlow,Scikit-Learn;TensorFlow,Docker;npm;Terraform,Terraform,Terraform,Visual Studio Code,Visual Studio Code,Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Clickup;Jira,Clickup;Jira,Clickup;Jira,Google Meet;Microsoft Teams;Zoom,,,Tabnine,Tabnine,Tabnine,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Very favorable,Increase productivity;Greater efficiency,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Predictive analytics,Project planning;Testing code;Deployment and monitoring;Search for answers;Generating content or synthetic data,Learning about a codebase;Debugging and getting help;Committing and reviewing code,,Writing code;Documenting code,Predictive analytics,,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Energy demand,Don’t trust the output or answers,Yes,Individual contributor,8.0,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Never,1-2 times a week,Never,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Maintaining security of systems/platforms used in work,DevOps function;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Other:,15.0,5.0,8.0,17.0,18.0,20.0,10.0,5.0,2.0,Appropriate in length,Easy,80000.0,7.0
17354,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,20,17,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Reputation for quality and excellence,Germany,EUR European Euro,70000.0,Dart;HTML/CSS;JavaScript;TypeScript,Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,Dart;HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Firebase Realtime Database;Redis,Cloud Firestore;Elasticsearch;PostgreSQL;Redis;Supabase,Cloud Firestore;Redis,Firebase;Google Cloud,Cloudflare;Firebase;Google Cloud;Supabase,Firebase;Google Cloud,Django;Express;Flask;Svelte;Vue.js,FastAPI;Svelte,Svelte,,,,Flutter;NumPy;Pandas,Apache Kafka;Flutter;Hugging Face Transformers;Keras;NumPy;Pandas;TensorFlow,Flutter;NumPy;Pandas,Docker;npm;Vite,Docker;Kubernetes;npm;Vite,Docker;npm;Vite,PyCharm;Visual Studio Code;WebStorm,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Trello,Notion;Trello,Trello,Google Meet;Telegram;Whatsapp,Discord;Google Meet;Telegram;Whatsapp,Google Meet;Telegram;Whatsapp,ChatGPT;GitHub Copilot;Tabnine,GitHub Copilot,GitHub Copilot,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,Quickly finding code solutions,"No, not really",Yes,Favorable,Increase productivity,Somewhat trust,Bad at handling complex tasks,Writing code,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Predictive analytics;Search for answers;Generating content or synthetic data,Deployment and monitoring,,Writing code,,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Don’t trust the output or answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,75184.0,
39839,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Friend or family member",,,15,14,"Developer, game or graphics",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Connected to an open source project;Other:,United States of America,USD	United States dollar,332712.0,C#;HTML/CSS;Java;Kotlin;Python;Ruby;Swift;TypeScript,C#;F#;Haskell;HTML/CSS;Kotlin;Python;Swift;TypeScript,C#;HTML/CSS;Kotlin;Python;Swift;TypeScript,,,,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js;Play Framework;React,Node.js;Play Framework;React,Node.js;Play Framework;React,,,,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET Framework (1.0 - 4.8),Godot;Gradle;Homebrew;npm;Podman;Unity 3D;Visual Studio Solution;Webpack,Godot;Gradle;Homebrew;npm;Podman;Unity 3D;Visual Studio Solution;Webpack,Godot;Gradle;Homebrew;npm;Podman;Unity 3D;Visual Studio Solution;Webpack,Android Studio;IntelliJ IDEA;PyCharm;Rider;Vim;Visual Studio Code;Xcode,Android Studio;IntelliJ IDEA;PyCharm;Rider;Vim;Visual Studio Code;Xcode,Android Studio;IntelliJ IDEA;PyCharm;Rider;Vim;Visual Studio Code;Xcode,Android;Other Linux-based,Android;iOS;iPadOS;MacOS,Confluence;Jira;Markdown File;Trello,Confluence;Jira;Markdown File;Trello,Confluence;Jira;Markdown File;Trello,Discord;Matrix;Signal;Slack;Telegram;Whatsapp;Zoom,Discord;Matrix;Signal;Slack;Telegram;Whatsapp;Zoom,Discord;Matrix;Signal;Slack;Telegram;Whatsapp;Zoom,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,14.0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,10.0,0.0,0.0,20.0,25.0,20.0,25.0,0.0,0.0,Appropriate in length,Easy,332712.0,9.0
6248,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,15,11,Engineering manager,"10,000 or more employees",I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence,United States of America,USD	United States dollar,550000.0,Java;Kotlin,Java;Kotlin,Java;Kotlin,SQLite,SQLite,SQLite,,,,,,,,,,,,,,,,Android Studio;IntelliJ IDEA;Vim;Visual Studio Code,Android Studio;IntelliJ IDEA;Vim;Visual Studio Code,Android Studio;IntelliJ IDEA;Vim;Visual Studio Code,Android,Android,,,,Google Chat;Google Meet,Google Chat;Google Meet,Google Chat;Google Meet,Google Gemini,Google Gemini,Google Gemini,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really",Yes,Favorable,Increase productivity;Speed up learning,Somewhat distrust,Bad at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,Project planning;Documenting code;Testing code;Deployment and monitoring;Predictive analytics,Committing and reviewing code;Generating content or synthetic data,,,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,550000.0,
31794,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),18,12,"Developer, desktop or enterprise applications","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence,India,INR	Indian rupee,,Bash/Shell (all shells);Go;Lua;Python,C;C++;Go;Python,Go;Python,PostgreSQL,,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,,,,,,,,APT;Docker;Homebrew;Make;Ninja;Pip;Terraform,APT;Docker;Homebrew;Make;Ninja;Pip;Terraform,APT;Docker;Homebrew;Make;Ninja;Pip;Terraform,Neovim;Sublime Text;Vim;Visual Studio Code,Neovim;Sublime Text;Vim;Visual Studio Code,Neovim;Sublime Text;Vim;Visual Studio Code,MacOS,MacOS,GitHub Discussions;Jira;Obsidian,GitHub Discussions;Jira;Obsidian,GitHub Discussions;Jira;Obsidian,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,Writing code;Documenting code;Search for answers;Generating content or synthetic data,,Debugging and getting help,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,12.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,3-5 times a week,10+ times a week,Never,Over 120 minutes a day,30-60 minutes a day,None of these,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Too long,Easy,,10.0
21404,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Other (please specify):","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,11,9,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit,,APIs;Reputation for quality and excellence,France,EUR European Euro,120000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Prolog;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite;Supabase,Elasticsearch;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Fly.io;OVH;Supabase;Vercel,Fly.io;OpenStack;OVH;Scaleway;Vercel,Fly.io;OVH;Vercel,Django;Express;Fastify;NestJS;Next.js;Node.js;React;Remix;Strapi;Symfony;WordPress,Deno;Express;Fastify;Htmx;Next.js;Node.js;Phoenix;React;Remix;Solid.js;Strapi;Symfony,Express;Fastify;Next.js;Node.js;React;Remix;Strapi;Symfony,,,,React Native,React Native;Tauri,React Native,Docker;Homebrew;npm;Terraform;Vite;Webpack;Yarn,Docker;Homebrew;Kubernetes;npm;Pulumi;Terraform;Vite,Docker;Homebrew;npm;Terraform;Vite,Visual Studio Code,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Jira;Linear;Miro;Notion;Trello,Linear;Miro;Trello,Linear;Miro;Trello,Discord;Google Meet;Jitsi;Microsoft Teams;Slack;Whatsapp;Zoom,Discord;Jitsi;Slack,Discord;Jitsi;Slack,ChatGPT;GitHub Copilot,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,128887.0,
57615,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Bootstrapping a business;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,30,15,DevOps specialist,100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,United States of America,USD	United States dollar,120000.0,C#;HTML/CSS;JavaScript;SQL,,,Microsoft SQL Server,,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,ASP.NET,,,Arduino,,,.NET Framework (1.0 - 4.8),,,Visual Studio Solution,,,Visual Studio,,,Windows,,Confluence,,,Google Chat;Google Meet;Microsoft Teams,,,GitHub Copilot,,,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Generating content or synthetic data,Learning about a codebase;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers,Project planning,,Writing code;Documenting code;Generating content or synthetic data,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand;Other (please specify):,Don’t trust the output or answers,Yes,Individual contributor,27.0,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Number of software tools in use,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Energy,20.0,0.0,0.0,10.0,10.0,50.0,5.0,0.0,5.0,Appropriate in length,Easy,,9.0
24729,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Professional development or self-paced learning from online courses;Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials;Coding sessions (live or recorded);Video-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free),15,10,"Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial,Out-of-the-box is ready to go with little need for customization,APIs;Customization,Ukraine,UAH	Ukrainian hryvnia,,Java;Kotlin;PHP;Python,Kotlin,Kotlin,Cloud Firestore;MySQL;SQLite,Cloud Firestore;SQLite,Cloud Firestore;SQLite,Firebase;Google Cloud,Firebase;Google Cloud,Firebase;Google Cloud,,,,,,,,,,,,,Android Studio;IntelliJ IDEA;PhpStorm;PyCharm;Visual Studio,Android Studio,Android Studio,Android;Ubuntu;Windows,Android;Ubuntu;Windows,GitHub Discussions,GitHub Discussions,GitHub Discussions,Google Chat;Signal,Google Chat;Signal,Google Chat;Signal,ChatGPT;Google Gemini,ChatGPT;Google Gemini,ChatGPT;Google Gemini,Stack Overflow Blog or Podcast,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Favorable,Increase productivity;Improve collaboration;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring,Predictive analytics,,,Writing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,,
