ResponseId,Age,Country,EdLevel,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith
36663,18-24y,Viet Nam,Bachelor’s degree,Bash/Shell (all shells);C#;C++;Haskell;Java;JavaScript;Python;SQL;TypeScript,None,PostgreSQL;SQLite,None,None,None,Angular;Node.js;React,None
36721,25-34y,Germany,Bachelor’s degree,Bash/Shell (all shells);Go,Bash/Shell (all shells);Go,Cloud Firestore,Cloud Firestore,Google Cloud,Google Cloud,None,None
30719,25-34y,USA,Bachelor’s degree,Bash/Shell (all shells);Go;JavaScript;Python;SQL,Bash/Shell (all shells);Go;Python;Rust;SQL;Zig,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),None,None
17354,35-44y,Germany,Master’s degree,Dart;HTML/CSS;JavaScript;TypeScript,Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore;Firebase Realtime Database;Redis,Cloud Firestore;Elasticsearch;PostgreSQL;Redis;Supabase,Firebase;Google Cloud,Cloudflare;Firebase;Google Cloud;Supabase,Django;Express;Flask;Svelte;Vue.js,FastAPI;Svelte
39839,35-44y,USA,Bachelor’s degree,C#;HTML/CSS;Java;Kotlin;Python;Ruby;Swift;TypeScript,C#;F#;Haskell;HTML/CSS;Kotlin;Python;Swift;TypeScript,None,None,Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js;Play Framework;React,Node.js;Play Framework;React
6248,25-34y,USA,Bachelor’s degree,Java;Kotlin,Java;Kotlin,SQLite,SQLite,None,None,None,None
31794,35-44y,India,Bachelor’s degree,Bash/Shell (all shells);Go;Lua;Python,C;C++;Go;Python,PostgreSQL,None,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,None,None
21404,25-34y,France,Bachelor’s degree,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Prolog;Rust;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite;Supabase,Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;OVH;Supabase;Vercel,Fly.io;OpenStack;OVH;Scaleway;Vercel,Django;Express;Fastify;NestJS;Next.js;Node.js;React;Remix;Strapi;Symfony;WordPress,Deno;Express;Fastify;Htmx;Next.js;Node.js;Phoenix;React;Remix;Solid.js;Strapi;Symfony
57615,35-44y,USA,Study wo degree,C#;HTML/CSS;JavaScript;SQL,None,Microsoft SQL Server,None,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,None,ASP.NET,None
24729,35-44y,Ukraine,Professional degree,Java;Kotlin;PHP;Python,Kotlin,Cloud Firestore;MySQL;SQLite,Cloud Firestore;SQLite,Firebase;Google Cloud,Firebase;Google Cloud,None,None
60342,25-34y,Unknown,Unknown,C#;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,C#;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;Redis;SQLite;Supabase,Microsoft SQL Server;PostgreSQL;Redis;SQLite;Supabase,Firebase;Google Cloud;Microsoft Azure;Supabase,Microsoft Azure;Supabase,Angular;ASP.NET;Spring Boot,Angular;ASP.NET;ASP.NET CORE;Spring Boot
53408,25-34y,UK,Master’s degree,Python;SQL,None,BigQuery;Databricks SQL;Microsoft SQL Server;PostgreSQL,None,Amazon Web Services (AWS);Databricks;Google Cloud,None,None,None
7396,25-34y,Spain,Bachelor’s degree,Bash/Shell (all shells);Java;JavaScript;Rust;Scala,Bash/Shell (all shells);Rust;Scala,Dynamodb;MariaDB;MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Vercel,Play Framework;React,Play Framework
44489,35-44y,Czechia,Bachelor’s degree,Bash/Shell (all shells);Dart;Go;HTML/CSS;Ruby;Rust;SQL,Bash/Shell (all shells);Go;HTML/CSS;Lua;Rust;SQL;Swift,BigQuery;PostgreSQL;Redis,BigQuery;DuckDB;PostgreSQL;Redis;SQLite,Google Cloud;Hetzner;Vultr,Google Cloud;Hetzner,Htmx;Node.js;Vue.js,Htmx
64301,45-54y,Austria,Associate degree,C;C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Solidity;SQL;TypeScript;VBA;Visual Basic (.Net),Go;JavaScript;Python,Cloud Firestore;Firebase Realtime Database;H2;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Supabase,DuckDB;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Hetzner;Microsoft Azure;Vercel,Hetzner,Angular;AngularJS;ASP.NET;Express;Htmx;jQuery;Node.js;Spring Boot;Vue.js;WordPress,Htmx
18650,25-34y,Denmark,Associate degree,Java;SQL,Go,IBM DB2,None,IBM Cloud Or Watson,None,None,None
21053,18-24y,Ukraine,Study wo degree,C#;HTML/CSS;JavaScript,HTML/CSS;JavaScript;Ruby,None,None,None,None,Node.js,Node.js;Ruby on Rails
5334,35-44y,Italy,Secondary School,JavaScript;PHP,JavaScript;PHP;Python;Rust;TypeScript,Dynamodb;Elasticsearch;MySQL,Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,jQuery;Node.js,Laravel;Node.js;Symfony;Vue.js
57038,55-64y,Italy,Master’s degree,Assembly;C#;C++;Kotlin;Python;SQL,Go;JavaScript;Kotlin;PHP;Python;SQL;Swift,H2;MariaDB;Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js;Spring Boot,Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js;React
35757,25-34y,Germany,Master’s degree,Bash/Shell (all shells);Dart;HTML/CSS;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Dart;Python;Rust,PostgreSQL;SQLite,PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Firebase;Google Cloud,Angular;AngularJS;FastAPI;Flask,None
48719,55-64y,USA,Professional degree,Fortran;JavaScript;MicroPython;Python,MicroPython;Python,InfluxDB;MariaDB,InfluxDB;MariaDB,None,None,None,None
3076,35-44y,Colombia,Master’s degree,JavaScript;Python;TypeScript,JavaScript;Kotlin;Python;Rust;TypeScript,MariaDB;PostgreSQL;Redis,Databricks SQL;Elasticsearch;MariaDB;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Databricks;Microsoft Azure,Angular;Django;React,Angular;Django;FastAPI;React
35382,25-34y,Germany,Master’s degree,Bash/Shell (all shells);C++;MATLAB;Python;SQL,Bash/Shell (all shells);C++;Kotlin;Python;Rust,MySQL,MySQL,IBM Cloud Or Watson;Microsoft Azure,Amazon Web Services (AWS);VMware,None,None
22172,35-44y,UK,Master’s degree,None,None,None,None,None,None,None,None
5344,25-34y,Colombia,Associate degree,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,C#;C++;Elixir;GDScript;Go;Kotlin;Lua;Python;Rust,Microsoft SQL Server;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Oracle Cloud Infrastructure (OCI);Vercel,Cloudflare;Digital Ocean;Oracle Cloud Infrastructure (OCI);Vercel,Express;FastAPI;Laravel;Next.js;Node.js;React,ASP.NET CORE;Django;Express;NestJS;Node.js;React;Spring Boot
